RANKING DE OPORTUNIDADES,DATA_CRIACAO,ID AUTOMÁTICO,CUSTOMER,VENDEDOR,COUNTRY,PROVINCE,PRODUCT,SOLUTION/BID, mkt_qty , lvk_qty ,BID DATE,DATA DE FECHAMENTO,INCORTERM,net_price_usd,total_net_usd,TOTAL NET HX (USD),exchange_rate, TOTAL NET (R$) , TOTAL NET LVK (R$) ,ESTAGIO,STATUS,RISCO,PROBABILIDADE,PROX PASSO,MOTIVO PERDA,OBSERVAÇÕES,DATA DA ULTIMA ATUALIZAÇÃO,STATUS_DADOS,ID_OPORTUNIDADE,ALERTA AUTOMÁTICO,Dolar do dia,"5,1523"
,03/04/2026,OPP-MAR-0426-002,MARECHAL,Felipe Hanke,Brasil,Brasilia,POC,Transporte Público,  1 ,  500.000 ,20/03/2026,03/01/2027,CIF,"$38.927,66","$38.927,66","$38.927,66",," R$  200.567,00 "," R$  200.567,00 ",Proposta,Aguardando processo interno,Médio,100%,"Proposta apresentada, porém cliente disse que não possui carga para conexão do carregador, temos de revisar o escopo incluindo 1 Bess de 261",,,15/06/2026,,,,,
,03/04/2026,OPP-EVO-0426-003,EVMOBILITY (lISTA DE PREÇOS),Felipe Hanke,Brasil,São Paulo,DC 60 KW DUAL,Spot,  1 ,  1 ,30/03/2026,14/02/2027,CIF,"$5.628,55","$5.628,55","$5.628,55",," R$  29.000,00 "," R$  29.000,00 ",Negociação,Aguardando parceiro,Médio,100%,"Contato realizado com Pedro, solicitou que enviássemos lista de preços e mantivessemos estoque no  Brasil, lista de preços enviada, reunião agendada com flávio para falarmos sobre estoque no Brasil",,,15/06/2026,,,,,
,03/04/2026,OPP-EVO-0426-009,EVMOBILITY (GBT),Felipe Hanke,Brasil,São Paulo,DC 120kW GBT,Annual Demmand,  250 ,  38 ,30/03/2026,13/09/2026,CIF,"$48.522,02","$48.522,02","$48.522,02",," R$  250.000,00 "," R$  250.000,00 ",Proposta,Aguardando processo interno,Médio,15%,"Estão comprando um carregador GBT à 65k, porém precisam com urgência, enviei o valor de frete aéreo na sexta, porém ainda sem retorno.",,,15/06/2026,,,,,
,03/04/2026,,EVMOBILITY (HUB MERCADO LIVRE),Felipe Hanke,Brasil,São Paulo,AC 22kW,Frota Last Mile,  30 ,,30/03/2026,?,CIF,"$0,00","$0,00","$0,00",,,,Proposta,Aguardando processo interno,Médio,10%,"Estamos criando um modelo de negócio em conjunto para ser apresentado ao Mercado Livre, está ainda em desenvolvimento da solução",,,15/06/2026,,,,,
4,03/04/2026,OPP-AZU-0426-004,AZUL TRANSPORTES,Felipe Hanke,Brasil,Paraná,POC,Transporte Público,  1 ,  1 ,15/04/2026,15/07/2026,CIF,"$194.088,08","$194.088,08","$194.088,08",," R$  1.000.000,00 "," R$  1.000.000,00 ",Fechamento,Aguardando cliente,Baixo,100%,"Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus",,,15/06/2026,,,,,
3,03/04/2026,OPP-VIA-0426-006,VIAÇÃO CIDADE SORRISO,Felipe Hanke,Brasil,Paraná,POC,Transporte Público,  1 ,  1 ,15/04/2026,15/07/2026,CIF,"$194.088,08","$194.088,08","$194.088,08",," R$  1.000.000,00 "," R$  1.000.000,00 ",Fechamento,Aguardando cliente,Baixo,100%,"Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus",,,15/06/2026,,,,,
2,03/04/2026,OPP-VIA-0426-007,VIAÇÃO GLÓRIA,Felipe Hanke,Brasil,Paraná,POC,Transporte Público,  1 ,  1 ,15/04/2026,15/07/2026,CIF,"$194.088,08","$194.088,08","$194.088,08",," R$  1.000.000,00 "," R$  1.000.000,00 ",Fechamento,Aguardando cliente,Baixo,100%,"Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus",,,15/06/2026,,,,,
1,03/04/2026,OPP-VIA-0426-008,VIAÇÃO REDENTOR,Felipe Hanke,Brasil,Paraná,POC,Transporte Público,  1 ,  1 ,15/04/2026,15/07/2026,CIF,"$194.088,08","$194.088,08","$194.088,08",," R$  1.000.000,00 "," R$  1.000.000,00 ",Fechamento,Aguardando cliente,Baixo,100%,"Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus",,,15/06/2026,,,,,
,03/04/2026,OPP-VIA-0426-015,VIAÇÃO SÃO GABRIEL,Felipe Hanke,Brasil,Mato Grosso do Sul,POC Carregamento + BESS + Geração Offgrid,São Gabriel do Oeste,  1 ,  1 ,30/08/2026,13/11/2026,CIF,"$310.359,98","$310.359,98","$310.359,98",," R$  1.599.067,75 "," R$  1.599.067,75 ",Proposta,Aguardando processo interno,Alto,30%,Previsão de envio da proposta dia 15/04,,,15/06/2026,,,,,
,13/04/2026,OPP-XCM-0426-011,XCMG,Felipe Hanke,Brasil,São Paulo,"7,3kW , 30kW, 120kW, 240kW, 320kW ou 360kW",Maquinas Pesadas,,,10/04/2026,24/11/2026,CIF,"$81.398,40","$81.398,40","$81.398,40",," R$  419.389,00 "," R$  419.389,00 ",Negociação,Aguardando parceiro,Alto,0%,"Proposta enviada, Rodrigo disse que agora é com setor de compras e que ele não tem mais controle da negociação, na Intermodal vi ele muito proximo no Stand da Nansen, verificar avanço.",,,15/06/2026,,,,,
