DATA_SNAPSHOT;ID_OPORTUNIDADE;CUSTOMER;VENDEDOR; TOTAL NET LVK (R$) ;ESTAGIO;STATUS;RISCO;PROBABILIDADE;PROX PASSO;DATA DA ULTIMA ATUALIZAÇÃO;DATA DE FECHAMENTO;CHAVE;STATUS ANTERIOR
03/04/2026;OPP-A2 -0426-010;A2 TRANSPORTES;Bruno Reis; R$ 44.798.000,37 ; Negociação ; Aguardando cliente ;Alto;100%;Solicitando acordo de última chamada pq eles estão com a WEG;08/06/2026;;;
03/04/2026;OPP-Alf-0426-004;ALFARODOBUS;Bruno Reis; R$ 3.600.000,00 ; Negociação ; Aguardando cliente ;Baixo;100%;Retorno da Enel sobre Projeto. Cobrar semanalmente;08/06/2026;;;
03/04/2026;OPP-ALF-0526-006;ALFARODOBUS (Zona Leste);Bruno Reis; R$ 1.200.000,00 ; Negociação ;Aguardando cliente;Baixo;100%;Cobrar retorno do cliente sobre cotação;08/06/2026;;;
03/04/2026;OPP-AMB-0426-011;AMBIENTAL (RV TRANS);Bruno Reis; R$ 20.000.000,00 ; Negociação ; Parado ;Baixo;100%;Já enviamos proposta de Bess. Aguardando cliente retornar;08/06/2026;;;
03/04/2026;OPP-ARA-0426-007;ARACAJU;Bruno Reis; R$ 640.000,00 ; Ganho ;Ganho;Médio;100%;;08/06/2026;;;
03/04/2026;OPP-AUT-0426-012;AUTOBLESS;Bruno Reis; R$ - ; Proposta ; Parado ;Alto;0%;Retornar em alguns meses;08/06/2026;;;
03/04/2026;OPP-AZU-0426-004;AZUL TRANSPORTES;Felipe Hanke; R$  2.115.818,00 ; Fechamento ;Aguardando cliente;;100%;Revisão para carregador de 180kW, Flávio está alinhando com Cao e Beto CWBus;12/05/2026;;;
03/04/2026;OPP-BEL-0426-008;BELÉM;Bruno Reis; R$ - ; Lead ; Parado ;Baixo;0%;Retornar em alguns meses;08/06/2026;;;
03/04/2026;OPP-CAM-0426-030;CAMAÇARI;Bruno Reis; R$ - ; Lead ;Parado;;50%;Retornar em alguns meses;06/06/2026;;;
12/05/2026;OPP-Cam-0426-002;CAMPO BELO 1 (RV TRANS);Bruno Reis; R$ 1.948.000,00 ; Negociação ;Parado;Baixo;100%;Aguardar a conclusão do projeto de alta tensão;05/06/2026;;;
12/05/2026;OPP-CAM-0526-003;CAMPO BELO 2 (RV TRANS);Bruno Reis; R$ 1.948.000,00 ; Negociação ;Parado;Baixo;100%;Pararam as negociações de Bess e vai para alta tensão;05/06/2026;;;
13/04/2026;OPP-CAS-0426-025;CASG;Felipe Hanke;;Lead;Em andamento;;0%;Fazer visita em São Gotardo, usa gerador à diesel no Plantio;12/05/2026;;;
;;CPO ORSINE;Felipe Hanke; R$  510.000,00 ; Negociação ;Aguardando parceiro;;50%;Estamos em conversa com Orsine para fechar escopo FOB China;12/05/2026;;;
13/04/2026;OPP-DAN-0426-020;DANIEL MELILO;Felipe Hanke;;Qualificação;Em andamento;;0%;Cliente pretende avançar na contratação de carregadores.;12/05/2026;;;
03/04/2026;OPP-DIA-0426-025;DIADEMA;Bruno Reis; R$ 870.000,00 ; Lead ;Parado;Médio;100%;Retonar em alguns meses;08/06/2026;;;
13/04/2026;OPP-DIA-0426-026;DIADEMA;Bruno Reis; R$ 3.500.000,00 ; Lead ;Parado;Baixo;100%;Retonar em alguns meses;08/06/2026;;;#REF!
03/04/2026;OPP-EVO-0426-009;EVMOBILITY (GBT);Felipe Hanke; R$  250.000,00 ;Proposta;Aguardando Engenharia;;15%;Estão comprando um carregador GBT à 65k, porém precisam com urgência, enviei o valor de frete aéreo na sexta, porém ainda sem retorno.;12/05/2026;;;
;;EVMOBILITY (HUB MERCADO LIVRE);Felipe Hanke;;Proposta;Aguardando Engenharia;;10%;Estamos criando um modelo de negócio em conjunto para ser apresentado ao Mercado Livre, está ainda em desenvolvimento da solução;12/05/2026;;;
03/04/2026;OPP-EVO-0426-003;EVMOBILITY (lISTA DE PREÇOS);Felipe Hanke; R$  29.000,00 ;Negociação;Aguardando parceiro;;100%;Contato realizado com Pedro, solicitou que enviássemos lista de preços e mantivessemos estoque no  Brasil, lista de preços enviada, reunião agendada com flávio para falarmos sobre estoque no Brasil;12/05/2026;;;
13/04/2026;OPP-EVO-0426-003;EVOLUTION MOBILITY (GRUPO PÁTRIA);Felipe Hanke; R$ 29.000,00 ; Negociação ;Parado;;100%;Contato está no Histórico com a Anna;13/04/2026;;;#REF!
13/04/2026;OPP-EVO-0426-009;EVOLUTION MOBILITY (GRUPO PÁTRIA);Felipe Hanke; R$ 37.500,00 ; Negociação ;Aguardando cliente;;15%;Estão comprando um carregador GBT à 65k, porém precisam com urgência, enviei o valor de frete aéreo na sexta, porém ainda sem retorno.;13/04/2026;;;#REF!
13/04/2026;OPP-EVO-0426-010;EVOLUTION MOBILITY (GRUPO PÁTRIA);Felipe Hanke; R$ 348.000,00 ; Negociação ;Aguardando cliente;;15%;Estão comprando um carregador GBT à 65k, porém precisam com urgência, enviei o valor de frete aéreo na sexta, porém ainda sem retorno.;13/04/2026;;;#REF!
03/04/2026;OPP-EXP-0426-011;EXPRESS;Felipe Hanke;;Qualificação;Parado;;0%;Tentei contato com Toninho várias vezes, na ida para SP tentar novo contato e visita;12/05/2026;;;
03/04/2026;OPP-EZ -0426-013;EZ VOLT;Felipe Hanke;; Qualificação ;Parado;;0%;EZ volt tem aproximadamente 60% dos apps de frotas nas garagens, verificar sobre aproximação e ver se compram carregadores da Livoltek, não fabricam.;12/05/2026;;;
13/04/2026;OPP-EZ -0426-014;EZ VOLT;Felipe Hanke;; Negociação ;Parado;;0%;;13/04/2026;;;#REF!
12/05/2026;OPP-GOV-0526-033;GOVER DE PERNAMBUCO;Bruno Reis;; Negociação ; Aguardando cliente ;Médio;;Dia do Bid dia 26/06;08/06/2026;;;
13/04/2026;OPP-GRE-0426-024;GREEN YELLOW;Felipe Hanke;; Negociação ;Em andamento;;0%;Contato realizado, aguardando jurídico analizar contrato e;12/05/2026;;;
13/04/2026;OPP-GRU-0426-023;GRUPO SEKITA;Felipe Hanke;;Qualificação;Em andamento;;0%;Fazer visita em São Gotardo, usa gerador à diesel no Plantio;12/05/2026;;;
